,state,gender,avg_fam_income,pobc2,avggift,domain,target_d,med_home_val_transformed
1047,CA,Female,709.0,43,6,S1,6.0,1.2094052376529438
1048,NV,Male,450.0,28,6,S2,7.0,0.245860283356932
1049,FL,Female,312.0,46,10,S2,12.0,-0.15501931913464834
1050,CA,Female,410.0,43,10,S2,10.0,0.9236491428260182
1051,WA,Female,365.0,63,20,T2,15.0,-0.9417852772587388
1052,MO,Female,357.0,64,10,C2,20.0,-0.48880961313053733
1053,MI,Male,1079.0,44,18,C1,25.0,1.5500673971697536
1054,KS,Female,582.0,45,7,C1,10.0,0.0474516895403649
1055,TN,Female,537.0,43,20,S1,25.0,0.25994701287171146
1056,CA,Female,777.0,41,12,S1,50.0,2.6231237989289196
1057,KS,Male,324.0,62,14,C3,20.0,-0.8224628679896924
1058,FL,Male,539.0,26,20,T1,25.0,0.08410930963129401
1059,AR,Male,305.0,31,14,R2,14.0,-0.41287500574457836
1060,KY,Male,258.0,81,3,T2,6.0,-0.8062247647425406
1061,TX,Male,553.0,57,5,0,10.0,-0.37972699783030006
1062,UT,Female,339.0,54,10,S2,10.0,-0.28921805970893805
1063,CA,Male,891.0,41,12,S1,13.0,2.284591628760621
1064,TX,Female,265.0,87,10,R3,12.0,-1.0895460081749477
1065,SC,Female,511.0,68,7,T1,10.0,-0.0747170107953322
1066,CA,Male,450.0,46,10,S2,15.0,0.9736725585730165
1067,FL,Male,432.0,21,6,S2,10.0,-0.08042567622442208
1068,CA,Male,288.0,47,8,R3,10.0,-0.3935969734643643
1069,FL,Male,446.0,32,13,S2,15.0,-0.16252062299760014
1070,CA,Male,609.0,42,9,S1,11.0,2.5375320764520866
1071,CA,Female,0.0,0,15,U2,25.0,-4.179469891894217
1072,MO,Female,412.0,76,28,S2,28.0,0.08540389360475387
1073,FL,Male,782.0,33,15,S1,15.0,1.3820413692654223
1074,TX,Male,292.0,71,4,R2,5.0,-0.7082215122293798
1075,NM,Female,313.0,32,5,C2,5.0,0.10726175624702776
1076,TX,Female,784.0,27,6,U3,6.0,0.7086858758137229
1077,CA,Female,356.0,62,20,C2,25.0,-0.07044851795921828
1078,IN,Female,399.0,61,20,R1,25.0,-0.7125329067895404
1079,WI,Female,273.0,90,4,T3,5.0,-1.1387709456652735
1080,CA,Male,309.0,60,12,S1,16.0,-0.4758866911302522
1081,SC,Male,488.0,35,15,T1,17.0,-0.25857832880255766
1082,WA,Female,308.0,48,9,U3,20.0,0.018077418062098016
1083,NC,U,566.0,42,14,S2,20.0,0.6398374550017033
1084,WA,Female,430.0,57,8,R2,14.0,-0.24426975932149408
1085,TX,Female,262.0,59,9,C3,16.0,-0.7430819672213929
1086,SC,Male,382.0,73,7,T2,11.0,-0.41994579005592064
1087,OK,Female,486.0,54,5,C2,5.0,-0.3472769672021716
1088,CA,Female,223.0,38,3,U4,3.0,0.18101753498626522
1089,MI,Female,466.0,87,19,T2,46.0,-0.49624421501967403
1090,LA,Male,459.0,71,10,R1,17.0,-0.2827178527806204
1091,TX,U,341.0,72,5,R2,6.0,-0.8531295386003706
1092,WA,Female,384.0,51,9,T2,13.0,-0.07187011520822334
1093,AK,U,469.0,29,15,R2,25.0,-0.3659807307868224
1094,MI,Female,274.0,76,16,U4,35.0,-1.1930140793502664
1095,IL,Male,528.0,75,7,U2,10.0,0.17611621100356098
1096,LA,Male,328.0,79,9,T2,15.0,-0.357451005669638
1097,IA,Male,313.0,20,14,S3,20.0,-0.9571365026048338
1098,CA,Female,691.0,40,13,U1,16.0,1.428498528257884
1099,MT,U,387.0,54,11,R1,5.0,-0.25857832880255766
1100,WI,Female,346.0,81,8,T2,12.0,-0.7017786047286195
1101,IL,Female,380.0,84,9,R2,22.0,-0.9190784064116148
1102,MI,Female,267.0,70,9,R3,20.0,-1.055879764451308
1103,WA,U,296.0,43,4,R3,10.0,-0.891828010645109
1104,GA,Female,342.0,39,5,C3,7.0,-0.26177566778737754
1105,NM,Male,337.0,46,17,U2,20.0,-0.3506608998143235
1106,OK,U,366.0,34,10,C2,15.0,-0.40935182873983966
1107,TX,Female,609.0,43,4,C1,3.0,0.07371678207116743
1108,CA,Female,369.0,32,9,U3,15.0,0.7277750089562384
1109,LA,U,331.0,75,17,T2,10.0,-0.5378065853949795
1110,CA,Female,669.0,37,24,S1,25.0,1.8809039764180806
1111,VA,Female,376.0,63,4,S1,5.0,-0.17611163874334154
1112,MI,Male,672.0,71,10,T1,10.0,0.7367980240874481
1113,CA,Female,395.0,36,15,U4,20.0,1.1482555712828257
1114,IL,Female,718.0,51,7,C1,10.0,0.6293841354099987
1115,OR,Female,292.0,42,9,C3,10.0,-0.5416429418034265
1116,MI,Female,651.0,72,10,S1,10.0,0.1439121156978522
1117,IL,Male,252.0,58,10,S3,20.0,-1.1124794431370166
1118,IL,Female,455.0,70,12,S2,16.0,0.835048640834177
1119,KS,Female,777.0,29,7,S2,10.0,0.5703258520460157
1120,CA,Female,599.0,49,10,U1,5.0,1.5416081803437591
1121,CA,U,449.0,37,8,U2,15.0,1.535545553191824
1122,TN,Male,389.0,81,13,R2,30.0,-0.598414860752015
1123,TN,Male,318.0,71,11,T2,15.0,0.06588017861127927
1124,TX,Female,315.0,62,7,C1,9.0,-0.7190244091553011
1125,FL,Male,410.0,6,10,C2,12.0,-0.06194468642381974
1126,CA,Male,362.0,59,14,R1,20.0,-0.05489161412565904
1127,NM,Female,290.0,52,11,R2,20.0,-0.3866463605068117
1128,NM,Male,325.0,45,8,C1,7.0,-0.5339800800365458
1129,CA,Female,523.0,36,14,S1,18.0,1.4938612637613635
1130,IL,Male,489.0,71,10,S2,20.0,-0.374557788445792
1131,MO,Female,285.0,64,8,C3,8.0,-0.7947401161358346
1132,NC,Male,349.0,64,9,T2,10.0,-0.5131077982825574
1133,MI,Female,474.0,73,4,U2,10.0,-0.32379356062865555
1134,CA,Female,544.0,58,11,S1,10.0,0.682930353049961
1135,SC,Female,498.0,63,8,T2,8.0,-0.3659807307868224
1136,SD,Male,536.0,51,12,T1,11.0,-0.07756885778399793
1137,CA,Female,381.0,54,20,S2,20.0,1.0263451032232767
1138,FL,Male,529.0,27,10,S1,10.0,0.1489061391631321
1139,IN,Female,406.0,77,9,T2,16.0,-0.522559087368877
1140,IL,Female,296.0,13,20,T2,20.0,-1.0149664708226138
1141,AL,Female,386.0,74,9,R3,15.0,-0.9571365026048338
1142,MI,Female,386.0,68,15,0,5.0,-0.5435648326022793
1143,WA,Female,272.0,48,13,0,23.0,-0.6429928190749371
1144,MI,Male,275.0,91,9,R3,10.0,-1.0503512754599025
1145,GA,Male,548.0,46,5,T1,9.0,0.0905723461338509
1146,CA,U,447.0,58,10,S2,20.0,0.9162807572368292
1147,GA,Female,764.0,39,15,C1,25.0,1.505589859894772
1148,MN,Female,304.0,80,10,R2,15.0,-0.7675529997275335
1149,CA,Male,580.0,50,20,U1,25.0,1.9266730448487581
1150,AE,Female,0.0,0,12,C1,50.0,-4.179469891894217
1151,CA,Female,167.0,16,6,U2,6.0,1.2514983771602364
1152,TX,Female,279.0,80,15,T2,20.0,-1.1124794431370166
1153,NC,U,462.0,72,12,T2,20.0,-0.7541529159608809
1154,WI,Female,320.0,84,15,R1,25.0,-1.1656068494301792
1155,TX,Female,481.0,72,9,S1,10.0,-0.41287500574457836
1156,MN,Female,493.0,79,5,S2,5.0,-0.020071757188236283
1157,WA,Female,541.0,59,11,T2,25.0,-0.3055873497240414
1158,CA,Male,392.0,20,10,U1,10.0,1.572862970341402
1159,GA,Male,285.0,91,9,C1,20.0,-0.9571365026048338
1160,MI,Male,278.0,56,7,C1,9.0,0.1526421186173862
1161,Arizona,Male,265.0,7,6,C3,2.0,-0.3780020018800287
1162,FL,Male,410.0,36,11,C2,12.0,-0.30394270488663794
1163,FL,Female,266.0,21,8,T2,5.0,-0.5358921050074062
1164,IL,Female,465.0,73,8,U4,10.0,0.16873794420701352
1165,IL,Female,303.0,72,12,S3,17.0,-0.9016747304329094
1166,TX,U,264.0,79,15,R3,20.0,-0.7563774918603543
1167,GA,Female,441.0,49,20,T2,25.0,-0.1715685319374493
1168,CA,Female,388.0,58,5,R2,6.0,-0.05067423359208416
1169,NC,U,636.0,37,7,S1,11.0,0.2173403476550626
1170,MO,Female,273.0,75,10,R2,16.0,-1.3783883985466094
1171,Arizona,Male,497.0,2,25,C1,10.0,0.6034748626706498
1172,NC,U,475.0,64,6,S2,25.0,-0.14457571784693507
1173,TX,Male,725.0,47,15,U1,15.0,0.011328863809436988
1174,MO,Female,390.0,87,5,T2,20.0,-0.7233684848482889
1175,MS,U,258.0,56,12,R3,30.0,-0.7970295518714087
1176,CA,Female,888.0,56,8,U1,10.0,2.864465185715819
1177,FL,U,441.0,30,9,S2,25.0,0.2173403476550626
1178,Arizona,Male,498.0,14,12,C1,25.0,-0.09911758109306257
1179,CA,Female,497.0,25,18,U1,20.0,1.7723677433371934
1180,FL,Female,553.0,26,28,S2,30.0,0.19442473379647945
1181,FL,Female,467.0,5,25,C1,25.0,0.6025082995227593
1182,MI,Female,313.0,65,9,0,3.0,-0.1565167913912769
1183,TX,Male,319.0,81,16,R2,25.0,-1.1328822511950674
1184,SC,Female,307.0,88,4,C3,10.0,-0.63888362052095
1185,MI,Female,495.0,88,8,T2,5.0,-0.10201233759868338
1186,IL,Female,380.0,87,5,R2,10.0,-0.8436215150088678
1187,MS,Male,308.0,83,6,R2,6.0,-0.7878940651988637
1188,CA,Female,488.0,46,7,C2,10.0,0.34885503167604687
1189,NE,Male,345.0,84,3,T2,20.0,-0.7364804949745206
1190,NM,Female,289.0,49,8,U2,20.0,-0.16854690813719647
1191,LA,Male,291.0,54,15,U2,20.0,-0.44315468576614836
1192,CO,Male,660.0,38,15,S1,15.0,0.3499663283627447
1193,MO,Male,297.0,86,15,R3,10.0,-1.6101742825974206
1194,OR,Male,267.0,21,10,T2,20.0,-0.8436215150088678
1195,MO,Female,642.0,74,13,S1,20.0,0.43246321380137215
1196,MO,Male,365.0,81,5,R2,15.0,-0.3780020018800287
1197,MI,Female,391.0,75,6,S2,10.0,-0.3901177402139729
1198,FL,Female,289.0,27,7,S2,14.0,-0.5609745782327703
1199,CA,Female,571.0,36,20,C1,8.0,1.3365391729809233
1200,CA,Female,397.0,62,11,R2,20.0,0.21494241148630286
1201,OR,Male,422.0,38,8,T2,15.0,0.1212565745661095
1202,KS,Male,755.0,16,8,S1,16.0,0.564413898299286
1203,CA,Female,683.0,42,16,S1,20.0,2.095951412464216
1204,WA,U,380.0,48,13,C2,12.0,-0.10346164470397709
1205,OR,Female,390.0,45,9,T2,12.0,-0.07187011520822334
1206,TX,Female,366.0,67,15,T2,15.0,-0.5687783028078057
1207,WA,U,89.0,29,4,R3,5.0,-4.179469891894217
1208,TX,Female,232.0,72,15,C3,15.0,-1.0149664708226138
1209,CA,Female,614.0,40,32,S1,50.0,1.9479573908694507
1210,WA,Female,289.0,61,5,R2,5.0,-0.7901723867591488
1211,CA,Male,668.0,60,13,C1,10.0,0.8005336668955026
1212,FL,Male,322.0,63,15,C3,15.0,-0.6185094213930333
1213,WI,U,429.0,91,11,R2,17.0,-0.31383660843179834
1214,NM,Male,338.0,51,6,T2,10.0,-0.5590300505263865
1215,FL,Female,427.0,33,13,S3,15.0,-0.5416429418034265
1216,CA,Female,569.0,44,4,U1,5.0,1.0867170382427787
1217,Arizona,Female,318.0,27,6,R2,5.0,-0.19748449561529732
1218,CA,Female,556.0,35,15,U2,21.0,0.5574926035988191
1219,GA,Female,324.0,84,20,R2,15.0,-0.7082215122293798
1220,MO,Female,593.0,67,18,C1,24.0,0.7421913514185516
1221,FL,Male,316.0,16,10,S2,11.0,-0.2762444041624213
1222,LA,Female,213.0,92,4,C3,5.0,-0.9674681109762352
1223,WI,Female,521.0,80,10,S1,16.0,0.08540389360475387
1224,NC,U,326.0,73,2,T2,2.0,-0.6533168573520618
1225,CA,Male,816.0,26,26,T1,30.0,2.6036303977921085
1226,CA,Female,573.0,48,15,C1,36.0,0.31632066231575834
1227,CA,Male,459.0,47,9,U2,20.0,1.3511543633058114
1228,MO,Male,459.0,75,3,R2,5.0,-0.41994579005592064
1229,TX,Female,810.0,66,16,C1,45.0,0.8376125515521723
1230,CA,Male,818.0,52,20,U1,20.0,2.0601886066309647
1231,SC,Female,373.0,80,8,T2,10.0,-0.7743008730132901
1232,CA,Female,1146.0,55,7,T1,15.0,2.6116754531467077
1233,TX,Male,467.0,59,25,U1,10.0,-0.2144799923044372
1234,IN,Female,356.0,43,20,R2,20.0,-0.7039230309187412
1235,WI,U,340.0,62,15,C3,5.0,-0.9091063936988398
1236,NC,Female,335.0,56,8,T2,7.0,-0.37283856098748525
1237,CA,Female,386.0,64,4,C2,3.0,0.29352898030689056
1238,TN,Female,328.0,44,7,S2,7.0,-0.0861543083010986
1239,SC,Female,260.0,79,16,R2,22.0,-0.9316466137230516
1240,IL,Male,444.0,66,20,U2,51.0,0.21853807328081232
1241,IL,Male,340.0,60,21,C3,25.0,-0.7475000106525315
1242,GA,Female,416.0,87,11,R2,25.0,-0.6783983769824377
1243,LA,Male,256.0,96,6,T3,7.0,-0.8388917657725647
1244,NE,Male,1118.0,56,13,S1,15.0,1.3911549411435693
1245,CA,Female,297.0,49,25,C2,20.0,0.5791584776409295
1246,IL,Female,386.0,81,6,T2,8.0,-0.3472769672021716
1247,IL,Male,319.0,75,3,T2,5.0,-0.069028151099092
1248,CA,Female,542.0,58,12,S2,14.0,1.6066141167108108
1249,TX,Male,304.0,61,14,S3,25.0,-1.081048395049642
1250,CA,Female,583.0,54,450,C1,20.0,1.120313197136976
1251,IL,Female,496.0,80,18,T2,21.0,0.10086217325134456
1252,FL,Male,305.0,53,8,R2,20.0,-0.9016747304329094
1253,IL,Male,465.0,69,5,S2,11.0,0.05273761058110388
1254,NM,Female,298.0,56,11,R2,10.0,-0.62662503917123
1255,OK,Male,414.0,36,14,U2,10.0,-0.20673234125083403
1256,OK,Female,700.0,60,5,C1,5.0,0.3731446409636288
1257,TX,Female,452.0,48,12,S1,15.0,0.007266584739606519
1258,KY,Male,195.0,80,6,U4,15.0,-1.1270201512072489
1259,FL,Female,326.0,27,15,S3,23.0,-0.33549094828253617
1260,IA,Male,301.0,87,9,R2,15.0,-1.1211843683621177
1261,MI,Male,372.0,69,9,R2,11.0,-0.5964204439105331
1262,CA,Female,913.0,50,20,S1,25.0,1.895918739993861
1263,CA,Male,285.0,38,20,C3,25.0,0.25643597164989734
1264,NE,Female,0.0,0,38,S2,43.0,-4.179469891894217
1265,FL,Male,633.0,20,14,C1,30.0,1.060193948308613
1266,TX,Female,0.0,0,15,S2,21.0,-4.179469891894217
1267,OR,Female,483.0,44,25,S2,25.0,0.2173403476550626
1268,MO,Male,287.0,82,6,R2,9.0,-1.4482070451211517
1269,TN,Female,569.0,47,7,S1,5.0,0.05800696086219617
1270,KY,Male,285.0,85,10,R3,10.0,-1.0096050775710552
1271,NE,Female,503.0,68,4,S1,4.0,-0.13863809689897938
1272,IL,Male,486.0,67,35,R2,40.0,0.05273761058110388
1273,NM,Male,609.0,24,10,0,7.0,0.20411043249661748
1274,CA,Male,678.0,61,13,C1,15.0,1.3278547796805829
1275,CA,U,581.0,66,4,U2,5.0,1.1901785917182304
1276,MN,Male,269.0,85,11,R2,20.0,-1.0586526952537085
1277,CA,Male,993.0,43,28,S1,25.0,2.934514638639929
1278,NC,U,396.0,67,5,T2,7.0,-0.3608572546337867
1279,NC,U,329.0,84,9,T2,15.0,-0.5074655205727255
1280,IL,Male,336.0,62,12,U3,16.0,-0.3659807307868224
1281,KS,Male,402.0,65,17,S2,20.0,-0.549345444778412
1282,IL,Female,351.0,86,11,R2,25.0,-1.0016030513275997
1283,FL,Female,544.0,30,7,T1,20.0,0.3731446409636288
1284,SC,Female,350.0,69,12,S2,15.0,-0.354052233400387
1285,CA,Male,660.0,55,4,S1,4.5,0.8410258215539095
1286,FL,Female,411.0,13,8,0,18.0,-0.2348019988038995
1287,TX,Female,507.0,50,6,T2,3.0,-0.3642710186102954
1288,WA,Female,542.0,50,8,S1,9.0,0.7830412028201417
1289,CA,Female,1144.0,26,16,S1,15.0,2.952322743682382
1290,HI,Male,382.0,67,20,T2,20.0,0.6227014279125067
1291,FL,Female,266.0,11,20,T2,20.0,-0.7497141879320699
1292,CO,Male,313.0,32,8,C2,10.0,-0.4306137033596823
1293,MI,Male,394.0,74,9,R2,15.0,-0.5570880686073313
1294,WA,U,485.0,32,11,S2,15.0,0.77776220273217
1295,TX,Female,526.0,41,5,R2,5.0,0.2992546037547833
1296,NC,U,427.0,69,6,C2,8.0,-0.3780020018800287
1297,MI,Female,391.0,87,9,T2,10.0,-0.5093439213211426
1298,CA,Female,368.0,64,15,T2,20.0,-0.2601761894297216
1299,MI,Female,533.0,41,27,U2,100.0,-0.8062247647425406
1300,WA,Female,361.0,52,8,T2,15.0,-0.0008878148182418522
1301,FL,Female,387.0,21,12,C2,25.0,-0.1268277580034095
1302,MN,Male,849.0,66,14,0,15.0,0.9064129423807251
1303,TN,Female,318.0,80,12,U3,15.0,-0.7810811072350454
1304,OK,Female,284.0,76,5,R2,5.0,-1.1182762604360532
1305,SC,Male,285.0,90,4,R3,4.0,-0.8992064270546265
1306,TX,Male,579.0,71,12,U1,10.0,0.7187089132610144
1307,WI,Female,370.0,84,8,R2,8.0,-0.374557788445792
1308,MI,Female,403.0,85,11,R2,21.0,-0.5924397016050645
1309,FL,Male,432.0,33,15,S2,10.0,-0.2843403858960891
1310,WA,U,456.0,49,10,S2,10.0,0.33658463388794685
1311,WI,Female,462.0,80,8,T2,10.0,-0.3055873497240414
1312,MO,Male,297.0,72,11,R3,20.0,-0.8039203125298692
1313,CA,Male,523.0,50,6,U1,10.0,1.2563537898441357
1314,CO,Female,406.0,37,9,S2,14.0,-0.29247827811896904
1315,CA,Male,442.0,54,11,S1,17.0,0.4775165967675184
1316,FL,Male,417.0,33,11,S3,20.0,0.04480247705386058
1317,FL,Male,193.0,31,6,T2,8.0,-0.5805616007078276
1318,OR,Male,485.0,45,12,T2,19.0,0.08540389360475387
1319,MN,Female,672.0,71,9,S1,16.0,0.2704380330066462
1320,FL,Female,265.0,32,4,S3,5.0,-0.6409367710242053
1321,IL,Female,253.0,72,10,C2,20.0,-0.8820512613457141
1322,CA,Male,896.0,46,20,T1,20.0,2.918281082474297
1323,WA,Female,435.0,46,6,R2,20.0,0.564413898299286
1324,WA,Female,464.0,54,12,S2,25.0,0.3185837155478223
1325,AR,Male,152.0,83,17,C3,16.0,-1.177715630377645
1326,MI,Female,445.0,69,7,T2,20.0,-0.6024118283987882
1327,TX,Female,664.0,38,5,U1,6.0,0.9927013153956576
1328,Arizona,Male,491.0,0,25,C2,25.0,-0.07899664431462551
1329,TX,Female,538.0,62,9,R1,15.0,0.3665529865857094
1330,CA,Female,484.0,64,10,R1,25.0,1.3022608247427228
1331,MO,Female,686.0,44,24,S1,10.0,1.4361434102634052
1332,WA,Female,628.0,52,37,C1,25.0,0.3219728697491794
1333,TX,Male,324.0,41,8,S2,15.0,-0.41287500574457836
1334,NC,U,295.0,79,6,T3,10.0,-0.9520001071694866
1335,MN,Male,403.0,88,10,T2,15.0,-0.9041474802122478
1336,IL,Male,419.0,63,8,U2,11.0,-0.522559087368877
1337,IL,Male,0.0,0,11,U1,10.0,-4.179469891894217
1338,SC,Female,388.0,72,11,T2,25.0,-0.6144684247257568
1339,TX,Female,279.0,55,10,S1,20.0,0.25526405466577223
1340,CA,Female,838.0,45,12,U2,20.0,2.0423414411620366
1341,NE,Female,308.0,61,8,T2,10.0,-0.7082215122293798
1342,AR,Female,301.0,59,17,C2,21.0,-0.6205341092678468
1343,AL,Female,389.0,84,12,R2,10.0,-0.8154806187834414
1344,GA,Male,507.0,52,7,S1,21.0,0.34217260819591366
1345,TX,Male,359.0,53,16,C1,23.0,-0.5282586647649516
1346,WI,Female,428.0,88,7,T2,10.0,-0.48695668549645404
1347,MT,U,344.0,75,11,R2,20.0,-0.891828010645109
1348,IL,Male,203.0,67,11,U4,10.0,-1.2273302807146393
1349,AK,Female,559.0,33,7,T2,10.0,0.29238161591644213
1350,CA,Female,589.0,44,6,S1,2.0,1.2941128527101422
1351,FL,Male,254.0,41,9,C3,25.0,-0.8507464268764371
1352,MN,Female,350.0,84,9,T2,15.0,-0.5726956435108461
1353,WY,Female,457.0,39,9,R1,15.0,-0.36940583980422775
1354,TN,Male,411.0,57,5,C2,5.0,-0.3523556391358359
1355,IL,Female,156.0,58,20,U4,36.0,-0.8555167479595067
1356,CA,Female,445.0,52,8,S2,10.0,1.1923238101961247
1357,MS,Male,252.0,89,25,R2,20.0,-0.9648778023237137
1358,KY,Female,361.0,55,9,T2,10.0,-0.45761504693669114
1359,CA,Male,555.0,40,25,S1,75.0,1.8663121670319565
1360,FL,Female,570.0,20,5,S1,7.0,0.308377052060748
1361,TN,Male,524.0,74,15,T1,15.0,0.22928056798182098
1362,WI,U,348.0,88,11,T2,15.0,-0.3814539266195163
1363,CA,Female,351.0,13,5,S2,11.0,0.7698163120272017
1364,KY,Male,334.0,71,9,C3,12.0,-0.8796178721734655
1365,TX,Female,228.0,67,15,T3,5.0,-1.3606638894479692
1366,MI,Female,605.0,70,7,S2,10.0,-0.02421162310607839
1367,CA,Female,492.0,58,11,S1,15.0,0.8221778103405961
1368,FL,Female,450.0,5,2,U2,3.0,0.917100835583015
1369,FL,Female,368.0,32,15,T2,15.0,-0.3642710186102954
1370,MI,Male,437.0,75,13,C2,20.0,-0.45761504693669114
1371,AR,Female,286.0,69,12,R2,20.0,-0.9778793128216712
1372,AR,Male,282.0,42,13,T3,12.5,-0.9066246950430605
1373,WA,U,382.0,53,6,T2,10.0,-0.2843403858960891
1374,NV,Female,781.0,44,12,C3,15.0,0.7123367561887661
1375,AR,Female,239.0,76,4,R3,5.0,-1.1270201512072489
1376,FL,Male,587.0,30,13,C1,16.0,0.5083002773830545
1377,SD,U,375.0,80,5,R2,6.0,-0.6512461778255472
1378,WA,U,363.0,66,14,C2,19.0,-0.05489161412565904
1379,WA,U,384.0,61,20,S2,35.0,0.07892103750978721
1380,MI,Male,534.0,64,15,U2,20.0,-0.3988306393823973
1381,NC,Male,319.0,60,6,R2,6.0,-0.13567743371817365
1382,MI,Female,211.0,72,8,U4,5.0,-1.3466667823693885
1383,CA,Male,436.0,15,10,C1,12.0,1.0448790573239415
1384,OR,Female,355.0,45,5,T2,8.0,-0.7810811072350454
1385,MI,Male,440.0,83,9,C2,11.0,-0.464897253027651
1386,WA,U,543.0,64,8,T2,5.0,0.6680534009586448
1387,OR,Female,347.0,51,10,S2,15.0,-0.5435648326022793
1388,NC,U,318.0,56,19,T2,20.0,-0.5358921050074062
1389,IL,Female,434.0,79,20,C2,20.0,0.18101753498626522
1390,IL,Female,387.0,85,13,R2,21.0,-0.5358921050074062
1391,FL,Female,340.0,24,11,T2,37.0,-0.3988306393823973
1392,AR,Female,340.0,61,4,T2,5.0,-0.5474160765957039
1393,NC,U,762.0,76,6,C1,10.0,0.6455147312951364
1394,IL,Female,342.0,83,7,R2,14.0,-1.2955488686149568
1395,MI,Male,400.0,67,11,C2,10.0,-0.20056117093869524
1396,CA,Female,433.0,59,4,T2,5.0,0.8469845997520484
1397,FL,Male,284.0,7,5,C3,5.0,-0.4306137033596823
1398,IN,Male,433.0,68,5,S2,5.0,-0.6225616021524494
1399,MN,Female,438.0,70,8,C1,15.0,-0.036693714376620876
1400,NV,Male,337.0,39,8,0,14.0,-0.9545658721566316
1401,TX,Female,455.0,43,13,U1,15.0,-0.031134485301527865
1402,IL,Male,662.0,81,5,U1,6.0,0.5722923069370232
1403,GA,Female,254.0,81,6,R3,5.0,-0.9367065071742326
1404,KY,Male,187.0,72,21,R3,10.0,-1.2432405690319621
1405,KS,Female,249.0,64,4,C2,7.0,-1.1807607453220945
1406,CA,Female,419.0,38,12,U1,20.0,1.2051481920931384
1407,Arizona,Male,0.0,0,17,C3,25.0,-4.179469891894217
1408,CO,Male,765.0,24,8,T1,20.0,0.95123845958398
1409,ID,Female,550.0,26,16,R1,50.0,1.152632613069346
1410,CA,Male,1204.0,36,11,T1,15.0,2.9145466153279935
1411,AL,U,457.0,50,10,T1,11.0,-0.3188071451347322
1412,NC,U,318.0,60,9,T2,10.0,-0.36940583980422775
1413,FL,Male,469.0,16,7,C2,5.0,0.03682964755499681
1414,TX,Male,602.0,73,5,C1,6.0,-0.10781731336848151
1415,AL,U,1105.0,62,15,S1,15.0,1.3741982870652079
1416,IL,Female,1179.0,70,10,S1,24.0,2.0165352623861468
1417,OK,Male,221.0,65,15,T3,50.0,-0.9674681109762352
1418,TX,Male,479.0,77,8,T1,15.0,-0.5131077982825574
1419,ND,Female,398.0,79,19,T1,25.0,-0.783348439151691
1420,OR,Female,323.0,47,12,C2,10.0,-0.5037157603128375
1421,FL,Female,363.0,7,3,C2,4.0,-0.317148541060954
1422,CA,Female,427.0,63,17,C2,25.0,0.19199479959923418
1423,MI,Female,504.0,89,20,T2,34.0,-0.20364377727494642
1424,IL,Male,364.0,84,10,R2,10.0,-0.7947401161358346
1425,CA,Male,492.0,13,13,C2,19.0,0.9146395702566705
1426,TX,Female,743.0,38,6,C1,6.0,0.4795851062102416
1427,AL,Female,286.0,87,8,C2,7.0,-0.9291236949685212
1428,CA,Female,544.0,58,13,S1,20.0,0.682930353049961
1429,AL,Female,311.0,82,4,T2,5.0,-0.7408780763442601
1430,SC,Male,467.0,70,9,T2,12.5,-0.1776288657806595
1431,CA,Female,408.0,62,6,S1,6.0,0.8469845997520484
1432,MO,Female,296.0,70,13,R3,15.0,-1.0421015551126793
1433,IL,Female,557.0,72,7,S1,15.0,0.34551696389332426
1434,FL,Male,264.0,12,9,C3,20.0,-0.6762915733790563
1435,CA,Female,543.0,71,3,C2,25.0,1.4092650600699266
1436,CA,Male,1004.0,45,12,S1,12.0,2.7906858617232744
1437,CA,Female,629.0,37,5,C1,6.0,1.9690459721980706
1438,CA,Female,474.0,12,10,C2,10.0,1.6101366523806586
1439,CA,Male,901.0,45,11,S1,15.0,2.1755074349737415
1440,MI,Male,274.0,58,12,U4,25.0,-1.4519963680453596
1441,SC,Female,338.0,80,15,R2,20.0,-0.6205341092678468
1442,SC,Male,335.0,81,5,R2,5.0,-0.7541529159608809
1443,WA,Female,356.0,37,10,C2,10.0,-0.7017786047286195
1444,NJ,Female,472.0,75,3,T2,20.0,0.49502444784174027
1445,NC,Male,352.0,81,10,R2,12.0,-0.4740495607959138
1446,TX,Male,288.0,73,8,C1,15.0,-0.582534652934123
1447,FL,Female,210.0,42,8,T3,11.0,-0.9545658721566316
1448,MI,Male,395.0,68,6,R2,5.0,-0.3918563725669827
1449,TX,Male,684.0,54,5,R2,5.0,0.034163588697090234
1450,OR,Female,455.0,45,13,S2,20.0,0.040820800293901345
1451,NC,U,476.0,67,6,T1,14.0,0.18956143930964
1452,CA,Male,413.0,64,5,R2,10.0,0.13890346727525182
1453,CA,Male,464.0,38,16,S1,26.0,0.47544573116454136
1454,MO,Female,441.0,81,4,S2,3.0,-0.1670382211587428
1455,TX,Female,207.0,58,8,C3,10.0,-1.1153746298325582
1456,WI,U,569.0,79,15,T1,20.0,0.1526421186173862
1457,NC,Male,314.0,76,5,C3,5.0,-0.7430819672213929
1458,WI,U,390.0,87,8,T2,25.0,-0.7190244091553011
1459,CA,Female,304.0,58,5,R2,10.0,0.026139845468821265
1460,GA,Female,655.0,56,31,C2,50.0,0.29123350231769124
1461,IL,Male,314.0,72,7,R3,10.0,-1.1387709456652735
1462,UT,Male,299.0,70,5,R2,6.0,-0.7190244091553011
1463,WA,Female,407.0,46,13,T1,23.0,-0.025593881007073858
